selection_criterion,twonn_metric,external_metric,spearman_corr
best_by_level_upper_macro_f1,twonn_pca,dendrogram_purity,-0.011000117859037024
best_by_level_upper_macro_f1,twonn_raw,dendrogram_purity,-0.022565933044301434
best_by_level_upper_macro_f1,twonn_space,level_f1_depth_6,-0.0511880718620741
best_by_level_upper_macro_f1,twonn_raw,f0.5-score,-0.10252782622302174
best_by_level_upper_macro_f1,twonn_pca,f0.5-score,-0.11052499372651485
best_by_level_upper_macro_f1,twonn_umap,level_f1_depth_6,-0.11441870928823475
best_by_level_upper_macro_f1,twonn_space,level_macro_f1,-0.12348184178329502
best_by_level_upper_macro_f1,twonn_pca,precision,-0.12571563267470884
best_by_level_upper_macro_f1,twonn_raw,precision,-0.12754657807648637
best_by_level_upper_macro_f1,twonn_umap,f1-score,-0.12835329464542947
best_by_level_upper_macro_f1,twonn_umap,level_macro_f1,-0.15120385232744785
best_by_level_upper_macro_f1,twonn_umap,dendrogram_purity,-0.15191175865333167
best_by_level_upper_macro_f1,twonn_space,dendrogram_purity,-0.1592909790814956
best_by_level_upper_macro_f1,twonn_pca,level_macro_f1,-0.16552558302169998
best_by_level_upper_macro_f1,twonn_pca,level_f1_depth_4,-0.16762084356627846
best_by_level_upper_macro_f1,twonn_space,f1-score,-0.17637492166751212
best_by_level_upper_macro_f1,twonn_raw,level_f1_depth_4,-0.17856520930708095
best_by_level_upper_macro_f1,twonn_space,precision,-0.1794485392856077
best_by_level_upper_macro_f1,twonn_pca,level_f1_depth_3,-0.17966859169760468
best_by_level_upper_macro_f1,twonn_raw,level_f1_depth_3,-0.1888670483055664
best_by_level_upper_macro_f1,twonn_raw,level_macro_f1,-0.19328212216206012
best_by_level_upper_macro_f1,twonn_space,level_f1_depth_3,-0.19514487780131895
best_by_level_upper_macro_f1,twonn_umap,level_f1_depth_3,-0.1974976334526896
best_by_level_upper_macro_f1,twonn_space,level_f1_depth_4,-0.20663364268449164
best_by_level_upper_macro_f1,twonn_pca,level_f1_depth_5,-0.20743079391326957
best_by_level_upper_macro_f1,twonn_umap,level_f1_depth_4,-0.21794460221426512
best_by_level_upper_macro_f1,twonn_raw,level_f1_depth_5,-0.22271594787201854
best_by_level_upper_macro_f1,twonn_space,level_lower_macro_f1,-0.2241801199606099
best_by_level_upper_macro_f1,twonn_space,level_f1_depth_5,-0.2266419981498612
best_by_level_upper_macro_f1,twonn_space,f0.5-score,-0.23944376473396795
best_by_level_upper_macro_f1,twonn_umap,level_f1_depth_5,-0.24570111536403666
best_by_level_upper_macro_f1,twonn_pca,level_f1_depth_6,-0.25395292668213065
best_by_level_upper_macro_f1,twonn_umap,f0.5-score,-0.25508498991645057
best_by_level_upper_macro_f1,twonn_umap,precision,-0.27191011235955054
best_by_level_upper_macro_f1,twonn_umap,level_lower_macro_f1,-0.275136848170556
best_by_level_upper_macro_f1,twonn_raw,level_f1_depth_6,-0.2816762442455793
best_by_level_upper_macro_f1,twonn_pca,level_lower_macro_f1,-0.33157498117954454
best_by_level_upper_macro_f1,twonn_raw,level_lower_macro_f1,-0.3561492910904966
best_by_level_lower_macro_f1,twonn_pca,f0.5-score,0.75848431713741
best_by_level_lower_macro_f1,twonn_pca,f1-score,0.7548176111843976
best_by_level_lower_macro_f1,twonn_raw,f1-score,0.7201476023703153
best_by_level_lower_macro_f1,twonn_raw,f0.5-score,0.7176947835611522
best_by_level_lower_macro_f1,twonn_pca,level_f1_depth_5,0.7123885851566834
best_by_level_lower_macro_f1,twonn_pca,precision,0.6909121645747539
best_by_level_lower_macro_f1,twonn_raw,precision,0.6755063000435452
best_by_level_lower_macro_f1,twonn_raw,level_f1_depth_5,0.6720723537107167
best_by_level_lower_macro_f1,twonn_pca,dendrogram_purity,0.6228161968759534
best_by_level_lower_macro_f1,twonn_pca,level_f1_depth_1,0.5924349189795654
best_by_level_lower_macro_f1,twonn_raw,level_f1_depth_1,0.5847520041045067
best_by_level_lower_macro_f1,twonn_raw,dendrogram_purity,0.5842614403426741
best_by_level_lower_macro_f1,twonn_umap,level_f1_depth_5,0.5813310285220397
best_by_level_lower_macro_f1,twonn_umap,dendrogram_purity,0.545869860476602
best_by_level_lower_macro_f1,twonn_umap,level_f1_depth_4,0.509602008478413
best_by_level_lower_macro_f1,twonn_umap,f0.5-score,0.5077416965057414
best_by_level_lower_macro_f1,twonn_space,level_f1_depth_5,0.4896601116051445
best_by_level_lower_macro_f1,twonn_pca,level_f1_depth_4,0.4876718917506414
best_by_level_lower_macro_f1,twonn_umap,level_f1_depth_3,0.4843807877515742
best_by_level_lower_macro_f1,twonn_umap,f1-score,0.4795900728484998
best_by_level_lower_macro_f1,twonn_space,dendrogram_purity,0.46120676792694937
best_by_level_lower_macro_f1,twonn_raw,level_f1_depth_4,0.4567148622661878
best_by_level_lower_macro_f1,twonn_pca,level_f1_depth_3,0.4536239079012411
best_by_level_lower_macro_f1,twonn_umap,precision,0.45334814997736345
best_by_level_lower_macro_f1,twonn_space,precision,0.43813971531735835
best_by_level_lower_macro_f1,twonn_raw,level_f1_depth_3,0.43071498288905785
best_by_level_lower_macro_f1,twonn_space,f0.5-score,0.4252633463638804
best_by_level_lower_macro_f1,twonn_space,level_f1_depth_4,0.4219211602160484
best_by_level_lower_macro_f1,twonn_space,f1-score,0.36783444242189123
best_by_level_lower_macro_f1,twonn_space,level_f1_depth_3,0.35977738652979613
best_by_level_lower_macro_f1,twonn_pca,recall,0.28783997135207107
best_by_level_lower_macro_f1,twonn_space,level_f1_depth_1,0.2705678732356539
best_by_level_lower_macro_f1,twonn_raw,recall,0.27005837295495105
best_by_level_lower_macro_f1,twonn_umap,level_f1_depth_1,0.25543071161048686
best_by_level_lower_macro_f1,twonn_pca,lca_similarity_spearman,0.19590686091808793
best_by_level_lower_macro_f1,twonn_umap,lca_similarity_spearman,0.19282215911429393
best_by_level_lower_macro_f1,twonn_space,lca_similarity_spearman,0.17826982184954193
best_by_level_lower_macro_f1,twonn_raw,lca_similarity_spearman,0.14815025607345725
best_by_level_lower_macro_f1,twonn_umap,recall,0.14362444283651718
best_by_level_lower_macro_f1,twonn_space,recall,0.03651826846191687
